Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
353,,J1539+0450,15:39:04.01,+04:50:56.9,234.76670833333333,4.849138888888889,SDSS,0.17,d,8,,,,II,"1, 13"
354,c,J1545-0249,15:45:48.80,-02:49:38.6,236.4533333333333,-2.8273888888888887,EE,,,51,,,,II,
355,,J1548+5813,15:48:26.29,+58:13:14.0,237.10954166666664,58.22055555555556,SDSS,,,455,2630.0,-0.78,,,"1, 2, 6, 16"
356,,J1550+1200,15:50:34.84,+12:00:40.8,237.64516666666665,12.011333333333331,2MASX,0.3,d,57,190.0,-0.54,3.37,I,1
357,,J1551+0609,15:51:40.33,+06:09:16.7,237.91804166666665,6.154638888888889,2MASX,0.31,d,21,77.0,-0.58,1.23,I,"1, 17, 20"
358,,J1554+5819,15:54:51.41,+58:19:09.5,238.7142083333333,58.31930555555556,EE,,,10,,,,I,1
359,,J1559-0143,15:59:20.03,-01:43:33.4,239.83345833333328,-1.7259416666666667,EE,,,52,,,,I,
360,,J1601+3155,16:01:30.74,+31:55:32.4,240.3780833333333,31.925666666666668,SDSS,,,19,113.0,-0.8,,I,
361,,J1606+5610,16:06:04.55,+56:10:44.7,241.51895833333333,56.17908333333333,EE,,,17,103.0,-0.81,,,
362,,J1607+4825,16:07:28.21,+48:25:35.2,241.86754166666665,48.42644444444444,SDSS,0.97,d,59,378.0,-0.83,220.26,I,"1, 15"
363,,J1608+0141,16:08:03.55,+01:41:54.3,242.0147916666666,1.698427777777778,EE,,,516,3282.0,-0.83,,I,
364,,J1609+5844,16:09:29.98,+58:44:08.0,242.37491666666665,58.73555555555556,SDSS,0.39,d,21,70.0,-0.54,2.23,I,1
365,,J1616+0926,16:16:53.17,+09:26:35.7,244.2215416666666,9.44325,SDSS,0.2,d,225,1197.0,-0.75,3.94,II,"13, 20"
366,,J1620+4740,16:20:06.81,+47:40:45.7,245.02837499999995,47.67936111111111,SDSS,,,132,,,,II,
367,,J1621+1140,16:21:23.34,+11:40:12.5,245.34725,11.670138888888888,EE,,,18,124.0,-0.86,,I,1
368,a,J1625+3026,16:25:31.80,+30:26:39.4,246.3825,30.444277777777778,EE,,,207,1103.0,-0.75,,II,
369,,J1625+4456,16:25:23.87,+44:56:23.4,246.34945833333333,44.93983333333333,SDSS,0.4,d,66,240.0,-0.58,6.85,II,20
370,,J1625+4813,16:25:12.80,+48:13:03.4,246.30333333333328,48.21761111111111,EE,,,43,166.0,-0.6,,II,
371,,J1631+0531,16:31:10.28,+05:31:50.3,247.79283333333328,5.530638888888888,2MASX,0.15,d,44,,,,II,"1, 2, 21"
372,,J1631+0535,16:31:42.43,+05:35:23.1,247.92679166666665,5.58975,EE,,,12,,,,II,
373,,J1633+1710,16:33:51.11,+17:10:54.5,248.4629583333333,17.181805555555556,SDSS,0.35,d,33,,,,II,1
374,b,J1635+2020,16:35:17.08,+20:20:48.5,248.8211666666666,20.346805555555555,2MASX,0.15,d,80,,,,I,1
375,,J1635+4309,16:35:16.22,+43:09:55.9,248.8175833333333,43.165527777777775,EE,,,26,,,,I,
376,,J1641+1004,16:41:08.91,+10:04:42.3,250.287125,10.078416666666666,EE,,,211,1230.0,-0.79,,I,
377,,J1645+1046,16:45:00.34,+10:46:40.1,251.2514166666666,10.777805555555556,SDSS,,,23,,,,II,
378,,J1645+5842,16:45:22.51,+58:42:55.8,251.34379166666665,58.715500000000006,EE,,,62,556.0,-0.98,,,1
379,ab,J1650+3202,16:50:07.71,+32:02:09.0,252.53212499999995,32.03583333333333,SDSS,0.3,d,43,119.0,-0.45,30.3,II,1
380,,J1651+3500,16:51:25.35,+35:00:36.2,252.855625,35.01005555555555,EE,,,157,473.0,-0.49,,I,
381,,J1655+5217,16:55:18.47,+52:17:23.8,253.82695833333327,52.28994444444445,EE,,,63,470.0,-0.9,,II,1
382,a,J1657+2746,16:57:47.88,+27:46:09.5,254.4495,27.769305555555555,2MASX,,,18,66.0,-0.58,,I,1
383,,J1659+2955,16:59:36.94,+29:55:17.2,254.90391666666665,29.921444444444447,SDSS,,,77,846.0,-1.07,,II,15
384,,J1701+4959,17:01:37.10,+49:59:14.6,255.40458333333328,49.98738888888889,EE,,,12,,,,I,
385,,J1705+5109,17:05:26.41,+51:09:35.4,256.36004166666663,51.15983333333333,EE,0.53,*,342,2570.0,-0.9,50.27,,"1, 2, 10"
386,,J1708+4723,17:08:51.55,+47:23:35.5,257.21479166666666,47.39319444444445,EE,,,5,,,,I,1
387,,J1718+4202,17:18:02.23,+42:02:11.5,259.5092916666667,42.03652777777778,SDSS,0.41,d,17,,,,II,
388,a,J1719+3547,17:19:36.39,+35:47:07.0,259.901625,35.78527222222222,SDSS,0.26,*,33,91.0,-0.45,1.85,I,
389,,J1723+4757,17:23:51.91,+47:57:32.7,260.9662916666667,47.95908333333334,EE,,,14,,,,,1
390,,J1727+4030,17:27:55.04,+40:30:23.5,261.97933333333333,40.50652777777778,EE,,,12,67.0,-0.77,,,
391,,J1743+6342,17:43:41.98,+63:42:37.3,265.9249166666666,63.71036111111111,EE,,,13,,,,,
392,,J2020+0026,20:20:53.29,+00:26:26.1,305.2220416666666,0.4405833333333333,EE,,,17,,,,II,1
393,,J2031+0107,20:31:24.60,+01:07:14.8,307.8525,1.120777777777778,EE,,,26,131.0,-0.72,,,
394,,J2056+0205,20:56:37.87,+02:05:45.8,314.15779166666664,2.096055555555556,EE,,,47,,,,I,
